clip_id,video_id,action_id,action_name,canonical_action,clip_path,stage2_dir,vlm_dir,comparison_path,fused_path,stage2_status,vlm_status,fused_status,stage2_event_count,vlm_present,error
8BG1T_c106_t5.60_45.46,8BG1T,c106,Drinking from a cup/glass/bottle,drinking_water,data/charades/clips_480p/8BG1T_c106_t5.60_45.46.mp4,outputs/charades_clip_batch_20/8BG1T_c106_t5.60_45.46/stage2,outputs/charades_clip_batch_20/8BG1T_c106_t5.60_45.46/vlm_review,outputs/charades_clip_batch_20/8BG1T_c106_t5.60_45.46/comparison.json,outputs/charades_clip_batch_20/8BG1T_c106_t5.60_45.46/fused_events.json,exists,exists,ok,2,False,
OINMN_c019_t0.00_45.25,OINMN,c019,Talking on a phone/camera,talking_on_phone,data/charades/clips_480p/OINMN_c019_t0.00_45.25.mp4,outputs/charades_clip_batch_20/OINMN_c019_t0.00_45.25/stage2,outputs/charades_clip_batch_20/OINMN_c019_t0.00_45.25/vlm_review,outputs/charades_clip_batch_20/OINMN_c019_t0.00_45.25/comparison.json,outputs/charades_clip_batch_20/OINMN_c019_t0.00_45.25/fused_events.json,exists,exists,ok,0,True,
024PD_c015_t0.00_59.04,024PD,c015,Holding a phone/camera,holding_phone,data/charades/clips_480p/024PD_c015_t0.00_59.04.mp4,outputs/charades_clip_batch_20/024PD_c015_t0.00_59.04/stage2,outputs/charades_clip_batch_20/024PD_c015_t0.00_59.04/vlm_review,outputs/charades_clip_batch_20/024PD_c015_t0.00_59.04/comparison.json,outputs/charades_clip_batch_20/024PD_c015_t0.00_59.04/fused_events.json,exists,exists,ok,0,True,
EHTB6_c016_t0.00_41.00,EHTB6,c016,Playing with a phone/camera,looking_at_phone,data/charades/clips_480p/EHTB6_c016_t0.00_41.00.mp4,outputs/charades_clip_batch_20/EHTB6_c016_t0.00_41.00/stage2,outputs/charades_clip_batch_20/EHTB6_c016_t0.00_41.00/vlm_review,outputs/charades_clip_batch_20/EHTB6_c016_t0.00_41.00/comparison.json,outputs/charades_clip_batch_20/EHTB6_c016_t0.00_41.00/fused_events.json,exists,exists,ok,9,True,
B5UXP_c156_t0.00_53.00,B5UXP,c156,Someone is eating something,eating,data/charades/clips_480p/B5UXP_c156_t0.00_53.00.mp4,outputs/charades_clip_batch_20/B5UXP_c156_t0.00_53.00/stage2,outputs/charades_clip_batch_20/B5UXP_c156_t0.00_53.00/vlm_review,outputs/charades_clip_batch_20/B5UXP_c156_t0.00_53.00/comparison.json,outputs/charades_clip_batch_20/B5UXP_c156_t0.00_53.00/fused_events.json,exists,exists,ok,0,True,
P0DXX_c151_t6.20_33.40,P0DXX,c151,Someone is going from standing to sitting,sitting_down,data/charades/clips_480p/P0DXX_c151_t6.20_33.40.mp4,outputs/charades_clip_batch_20/P0DXX_c151_t6.20_33.40/stage2,outputs/charades_clip_batch_20/P0DXX_c151_t6.20_33.40/vlm_review,outputs/charades_clip_batch_20/P0DXX_c151_t6.20_33.40/comparison.json,outputs/charades_clip_batch_20/P0DXX_c151_t6.20_33.40/fused_events.json,exists,exists,ok,0,False,
FVPMC_c154_t0.00_35.25,FVPMC,c154,Someone is standing up from somewhere,standing_up,data/charades/clips_480p/FVPMC_c154_t0.00_35.25.mp4,outputs/charades_clip_batch_20/FVPMC_c154_t0.00_35.25/stage2,outputs/charades_clip_batch_20/FVPMC_c154_t0.00_35.25/vlm_review,outputs/charades_clip_batch_20/FVPMC_c154_t0.00_35.25/comparison.json,outputs/charades_clip_batch_20/FVPMC_c154_t0.00_35.25/fused_events.json,exists,exists,ok,4,False,
CY2J2_c059_t0.00_50.83,CY2J2,c059,Sitting in a chair,sitting_on_chair,data/charades/clips_480p/CY2J2_c059_t0.00_50.83.mp4,outputs/charades_clip_batch_20/CY2J2_c059_t0.00_50.83/stage2,outputs/charades_clip_batch_20/CY2J2_c059_t0.00_50.83/vlm_review,outputs/charades_clip_batch_20/CY2J2_c059_t0.00_50.83/comparison.json,outputs/charades_clip_batch_20/CY2J2_c059_t0.00_50.83/fused_events.json,exists,exists,ok,1,False,
BGX4T_c097_t0.00_23.42,BGX4T,c097,Walking through a doorway,walking_through_doorway,data/charades/clips_480p/BGX4T_c097_t0.00_23.42.mp4,outputs/charades_clip_batch_20/BGX4T_c097_t0.00_23.42/stage2,outputs/charades_clip_batch_20/BGX4T_c097_t0.00_23.42/vlm_review,outputs/charades_clip_batch_20/BGX4T_c097_t0.00_23.42/comparison.json,outputs/charades_clip_batch_20/BGX4T_c097_t0.00_23.42/fused_events.json,exists,exists,ok,2,False,
S1BYH_c150_t0.00_28.04,S1BYH,c150,Someone is running somewhere,running,data/charades/clips_480p/S1BYH_c150_t0.00_28.04.mp4,outputs/charades_clip_batch_20/S1BYH_c150_t0.00_28.04/stage2,outputs/charades_clip_batch_20/S1BYH_c150_t0.00_28.04/vlm_review,outputs/charades_clip_batch_20/S1BYH_c150_t0.00_28.04/comparison.json,outputs/charades_clip_batch_20/S1BYH_c150_t0.00_28.04/fused_events.json,exists,exists,ok,0,False,
