clip_id,video_id,action_id,action_name,start_seconds,end_seconds,clip_start_seconds,clip_end_seconds,clip_duration_seconds,source_video,clip_path,status,error
8BG1T_c106_t5.60_45.46,8BG1T,c106,Drinking from a cup/glass/bottle,7.6,43.7,5.6,45.46,39.86,data/charades/videos_480p/8BG1T.mp4,data/charades/clips_480p_200/8BG1T_c106_t5.60_45.46.mp4,sliced,
OINMN_c019_t0.00_45.25,OINMN,c019,Talking on a phone/camera,0.0,46.0,0.0,45.25,45.25,data/charades/videos_480p/OINMN.mp4,data/charades/clips_480p_200/OINMN_c019_t0.00_45.25.mp4,sliced,
024PD_c015_t0.00_59.04,024PD,c015,Holding a phone/camera,0.0,60.0,0.0,59.04,59.04,data/charades/videos_480p/024PD.mp4,data/charades/clips_480p_200/024PD_c015_t0.00_59.04.mp4,sliced,
EHTB6_c016_t0.00_41.00,EHTB6,c016,Playing with a phone/camera,0.0,42.0,0.0,41.0,41.0,data/charades/videos_480p/EHTB6.mp4,data/charades/clips_480p_200/EHTB6_c016_t0.00_41.00.mp4,sliced,
B5UXP_c156_t0.00_53.00,B5UXP,c156,Someone is eating something,0.0,54.0,0.0,53.0,53.0,data/charades/videos_480p/B5UXP.mp4,data/charades/clips_480p_200/B5UXP_c156_t0.00_53.00.mp4,sliced,
P0DXX_c151_t6.20_33.40,P0DXX,c151,Someone is going from standing to sitting,8.2,31.4,6.2,33.4,27.2,data/charades/videos_480p/P0DXX.mp4,data/charades/clips_480p_200/P0DXX_c151_t6.20_33.40.mp4,sliced,
FVPMC_c154_t0.00_35.25,FVPMC,c154,Someone is standing up from somewhere,0.0,36.0,0.0,35.25,35.25,data/charades/videos_480p/FVPMC.mp4,data/charades/clips_480p_200/FVPMC_c154_t0.00_35.25.mp4,sliced,
CY2J2_c059_t0.00_50.83,CY2J2,c059,Sitting in a chair,0.0,52.0,0.0,50.83,50.83,data/charades/videos_480p/CY2J2.mp4,data/charades/clips_480p_200/CY2J2_c059_t0.00_50.83.mp4,sliced,
BGX4T_c097_t0.00_23.42,BGX4T,c097,Walking through a doorway,0.0,24.0,0.0,23.42,23.42,data/charades/videos_480p/BGX4T.mp4,data/charades/clips_480p_200/BGX4T_c097_t0.00_23.42.mp4,sliced,
S1BYH_c150_t0.00_28.04,S1BYH,c150,Someone is running somewhere,0.0,29.0,0.0,28.04,28.04,data/charades/videos_480p/S1BYH.mp4,data/charades/clips_480p_200/S1BYH_c150_t0.00_28.04.mp4,sliced,
4FXUI_c052_t0.00_43.20,4FXUI,c052,Working/Playing on a laptop,0.0,41.2,0.0,43.2,43.2,data/charades/videos_480p/4FXUI.mp4,data/charades/clips_480p_200/4FXUI_c052_t0.00_43.20.mp4,sliced,
ZCH1J_c051_t0.00_44.58,ZCH1J,c051,Watching a laptop or something on a laptop,0.0,46.0,0.0,44.58,44.58,data/charades/videos_480p/ZCH1J.mp4,data/charades/clips_480p_200/ZCH1J_c051_t0.00_44.58.mp4,sliced,
JUF24_c147_t0.00_37.08,JUF24,c147,Someone is cooking something,0.0,38.0,0.0,37.08,37.08,data/charades/videos_480p/JUF24.mp4,data/charades/clips_480p_200/JUF24_c147_t0.00_37.08.mp4,sliced,
6TNP4_c107_t0.90_44.58,6TNP4,c107,Holding a cup/glass/bottle of something,2.9,46.0,0.9,44.58,43.68,data/charades/videos_480p/6TNP4.mp4,data/charades/clips_480p_200/6TNP4_c107_t0.90_44.58.mp4,sliced,
PURYC_c110_t0.00_33.71,PURYC,c110,Taking a cup/glass/bottle from somewhere,1.2,35.0,0.0,33.71,33.71,data/charades/videos_480p/PURYC.mp4,data/charades/clips_480p_200/PURYC_c110_t0.00_33.71.mp4,sliced,
1Y09V_c109_t0.00_30.79,1Y09V,c109,Putting a cup/glass/bottle somewhere,0.0,32.0,0.0,30.79,30.79,data/charades/videos_480p/1Y09V.mp4,data/charades/clips_480p_200/1Y09V_c109_t0.00_30.79.mp4,sliced,
HG8G1_c065_t0.00_36.83,HG8G1,c065,Eating a sandwich,0.0,38.0,0.0,36.83,36.83,data/charades/videos_480p/HG8G1.mp4,data/charades/clips_480p_200/HG8G1_c065_t0.00_36.83.mp4,sliced,
ZP5TG_c123_t0.00_42.46,ZP5TG,c123,Sitting on sofa/couch,0.0,43.0,0.0,42.46,42.46,data/charades/videos_480p/ZP5TG.mp4,data/charades/clips_480p_200/ZP5TG_c123_t0.00_42.46.mp4,sliced,
